_id,head
1225,ampiyun
1226,pangampiyun
1227,ampiyuníru
1228,ampiyun
1229,ampli
1230,amplipáyir
1231,amplipáyiran
1232,ampù
1233,alampuanan
1234,maampuun
1235,main-ampuun
1236,maalampuun
1237,mag-aampù
1238,mag-alampù
1239,ampúngul
1240,amu
1241,ámu
1242,mu
1243,pangámu
1244,maistru ámu
1245,amù
1246,inúlug amù
1247,Amúay
1248,alamúan
1249,ámù
1250,amul
1251,amúlan
1252,amúlun
1253,amúma
1254,amumun
1255,amumun lumban sa dágat
1256,amumúng
1257,amumunggut
1258,amumungpung
1259,amumuntag
1260,amung
1261,pangamung
1262,amung-ámung
1263,amung-amungan
1264,maamung-amungun
1265,amunistal
1266,amur
1267,amur prupiyu
1268,amurádu
1269,amural
1270,amur sikrítu
1271,amursíku
1272,kaamursíku
1273,amurtisasiyun
1274,amurúsu
1275,ámut
1276,alamútan
1277,alamutan
1278,amúti
1279,ámuy
1280,ámuy
1281,amyun
1282,kaamyun
1283,-an
1284,-an
1285,-an
1286,-an
1287,-an(→)
1288,-an-
1289,anā̀
1290,ánà
1291,anáa
1292,náa
1293,anáa dat.
1294,unsa may anáa niánà
1295,sa [noun]?
1296,pagkaanáa
1297,pakaanáa
1298,anaáhun
1299,ánab
1300,anabu
1301,anabyung
1302,ánad
1303,anad
1304,anaran
1305,ánag
1306,inánag
1307,anagun
1308,anagunan
1309,anagási
1310,anagu
1311,anágu
1312,anahà
1313,anáhaw
1314,anáhaw lagwis
1315,anáhaw mubù
1316,anak
1317,anak sa búhat
1318,anak sa bunyag
1319,anak sa gawas
1320,anak sa húlaw
1321,anak sa kágang
1322,anak sa sápì
1323,Ának
1324,paanak
1325,palaangkanan
1326,pinaangkan
1327,panganak
1328,pangának
1329,pinanganak
1330,anak-ának
1331,angkan
1332,paangkan
1333,angkánun
1334,alangkan
1335,hinangkan
1336,hingangkan
1337,ig-ának
1338,ig-alának
1339,inanak
1340,mag-alának
1341,taliának
1342,umaának
1343,ánakun
1344,palaának
1345,anam
1346,paanam
1347,-anan
1348,-anan(→)
1349,an-an
1350,ananaklaw
1351,ananakyud
1352,ananamsi
1353,anananggal
1354,ananangkil
1355,anapug
1356,anapugan
1357,anapugun
1358,ánas
1359,ánaw
1360,ánaw
1361,anawnsir
1362,anay
1363,anayun
1364,ánayun
1365,alanayun
1366,anayúnun
1367,anay
1368,ánay
1369,ánay
1370,pangánay
1371,-anay
1372,anay-anay
1373,anda
1374,anda
1375,andadur
1376,andak
1377,pangandak
1378,andakan
1379,mapangandákun
1380,mangandákun
1381,andam
1382,pangandam
1383,mapangandámun
1384,andamyu
1385,andána
1386,andar
1387,hingandar
1388,andarul
1389,andas
1390,andaw
1391,tuli andaw
1392,andáyag
1393,andáyun
1394,anding
1395,andir
1396,andir ditíbul
1397,andir grawun
1398,andir gul
1399,andir ids
1400,andir kúbir
1401,andir pas
1402,andir tayim
1403,andu
1404,andù
1405,pag-andù (inig-andù) pa
1406,way andu
1407,andúhay
1408,anduhúnun
1409,andù
1410,andù
1411,andúhaw
1412,andúhay
1413,ang
1414,ánga
1415,ánga
1416,angáang
1417,ángal
1418,ángalan
1419,angalaskálas
1420,angan-ángan
1421,ang-ang
1422,ang-angan
1423,angat
1424,angat
1425,angat sa
1426,ángat
1427,pangángat
1428,angatun
1429,ángay
1430,angay
1431,walay angay
1432,paángay
1433,pahiángay
1434,paangay
1435,paangayan
1436,kaangáyan
1437,maangáyun
1438,makiangáyun
1439,angdù
1440,maangduun
1441,anggà
1442,anggal
1443,anggid
1444,angguy
1445,anghal
1446,paanghal
1447,anghaw
1448,anghil
1449,anghil magbalantay
1450,anghilika
1451,anghinghu
1452,anghit
1453,kaanghit
1454,angíing
1455,angílan
1456,ángin
1457,angitngit
1458,angka
1459,angkab
1460,angkas
1461,angkasanan
1462,angkat
1463,mangalangkat
1464,mangaangkat
1465,angkla
1466,angkub
1467,angkun
1468,mangaangkun
1469,hingangkun
1470,angkuníru
1471,anglit
1472,angsu
1473,kaangsu
1474,angsúhan
1475,angsud
1476,angtad
1477,paangtag
1478,angtud
1479,angturun
1480,anguangu
1481,anguanguhun
1482,angul
1483,ángul
1484,angul-angul
1485,angulunkulun
1486,angus
1487,angut
1488,ángut
1489,ángut
1490,anhà
1491,anhà pa
1492,anhà ku
1493,anhaan
1494,hianhà
1495,haanhà
1496,kaanhaun
1497,anhi
1498,anhian
1499,hianhi
1500,haanhi
1501,kaanhiun
1502,anhin
1503,anhing
1504,anhuy
1505,áni
1506,ináni
1507,anía
1508,anía kanákù
1509,aniag
1510,ánib
1511,ánib
1512,kaánib
1513,aníbal
1514,anibirsaryu
1515,aníbung
1516,anig-ig
1517,aníhag
1518,anii
1519,anikad
1520,anílaw
1521,anilyu
1522,animal
1523,animar
1524,animas
1525,panganimas
1526,animasiyun
1527,anímik
1528,animiku
1529,animu
1530,animya
1531,anínag
1532,anínaw
1533,anindut
1534,anindut nímu à
1535,maanindut
1536,aninikad
1537,aniningsing
1538,aniníput
1539,kità ug aniníput
1540,panganiníput
1541,anínu
1542,dakù ug anínu
1543,panganínu
1544,anipay
1545,anis
1546,anisádu
1547,ánis
1548,ánist
1549,anisay
1550,anis-is
1551,anislag
1552,anistisya
1553,ánit
1554,anítu
1555,aníyu
1556,anlit
1557,ansir
1558,ansiyánu
1559,ansiyánu sa simbahan
1560,ansu
1561,ansuy
1562,antad
1563,antagunismu
1564,antáhay
1565,antak
1566,antaw
1567,paantaw
1568,anti
1569,anti-
1570,anti
1571,antibayutiku
1572,antígu
1573,inantigu
1574,antíhay
1575,antikristu
1576,antimánu
1577,antína
1578,anting-anting
1579,antipára
1580,antipas
1581,antipatiku
1582,antipúlu
1583,antipun
1584,antipúna
1585,antirábis
1586,antis
1587,antisiptiku
1588,antisípu
1589,antitirhi
1590,antiúhus
1591,antiyúhus
1592,antū̀
1593,antúan
1594,antúbung
1595,antud
1596,antug
1597,antugan
1598,antugun
1599,antug
1600,antúhuy
1601,antúlang
1602,antulánga
1603,antulánga nga lut-ud
1604,antulánga nga asul
1605,antulíhaw
1606,antulíhawun
1607,antúlù
1608,antus
1609,alantúsun
1610,mainantúsun
1611,maantúsun
1612,antutu
1613,antuwánga
1614,anu
1615,ánud
1616,anud
1617,patiánud
1618,paanud
1619,pangánud
1620,kapanganúran
1621,panganúrun
1622,anugas
1623,anúgun
1624,panganúgun
1625,anugut
1626,anúhus
1627,anuk
1628,ánuk
1629,paanuk
1630,anular
1631,anumalíya
1632,-anun
1633,an-un
1634,anúnang
1635,anúnang
1636,anúnas
1637,anunimus
1638,anunsiyu
1639,anunugba
1640,anunugbu
1641,anupug
1642,anup-up
1643,ánur
1644,ánur rul
1645,anus-a
1646,anut
1647,anutasiyun
1648,anúus
1649,anak sa anúus
1650,anuwal
1651,anyag
1652,kaanyag
1653,maanyag
1654,anyil
1655,anyu
1656,anyu nuybu
1657,anyus
1658,apa
1659,ápa
1660,apáhap
1661,apáli
1662,apan
1663,apan-ápan
1664,apan
1665,apan-apan
1666,apan-apan
1667,ap-andawun
1668,ap-ap
1669,apapángig
1670,apapángigun
1671,aparadur
1672,aparátu
1673,aparisyun
1674,apartmin
1675,apartmint
1676,ápas
1677,ápas sumpay
1678,apas
1679,apas-apas
1680,apas-ápas
1681,paápas
1682,apsunun
1683,alapsunun
1684,apat
1685,apat kay
1686,ápaw
1687,apay
1688,apay
1689,apáyud
1690,pangapáyud
1691,apdu
1692,ispísu ug apdu
1693,ápid
1694,apid-apid
1695,apidábit
1696,apíki
1697,apikta
1698,apiktǎr
1699,apil
1700,walay apil [subject]
1701,apil-apil
1702,manggiapil-apilun
1703,mangaápil
1704,apilar
1705,apilasiyun
1706,Kurti diapilasyúnis
1707,apílu
1708,apilyídu
1709,apindiks
1710,apindisaytis
1711,áping
1712,pangáping
1713,kaápingan
1714,apínig
1715,apir
1716,ápir
1717,ápir baks
1718,ápir kat
1719,apirmatíbu
1720,apisiyun
1721,apisiyunáda
1722,apisiyunádu
1723,apítung
1724,apla
1725,aplay
1726,áp lay
1727,aplikasiyun
1728,aplud
1729,Aprika
1730,Aprikana
1731,Aprikanu
1732,aprindis
1733,aprintis
1734,apríta
1735,aprítadu
1736,apritáda
1737,aprubar
1738,aprubádu
1739,aptan
1740,apu
1741,pangapu
1742,apuhan
1743,apu sa sungkud
1744,apu sa túhud
1745,apu sa matag bagul
1746,ápù
1747,apud
1748,ápud
1749,mangápud
1750,pang-ápud
1751,apud-apud
1752,ápug
1753,alapugan
1754,ápug
1755,ápul
1756,ápul
1757,apung
1758,ápung
1759,apuntadur
1760,apuntasiyun
1761,apunti
1762,apuntin
1763,Alistu
1764,puygu
1765,apúpa
1766,paapúpa
1767,apura
1768,apurádu
1769,apúru
1770,apus
1771,apustrupi
1772,apustǔl
1773,apustǔl
1774,apustulis
1775,apuwintmint
1776,apuy
1777,apúya
1778,apuyus
1779,apyu
1780,apyug
1781,apyugun
1782,árà
1783,árab
1784,arab
1785,árab
1786,arabi
1787,arabun
1788,arabya
1789,aradur
1790,árag
1791,arang
1792,walay
1793,kinsay arang
1794,kun maarang
1795,árang
1796,arangan
1797,arang-arang
1798,maarang-arang
1799,karangan
1800,árang
1801,arangka
1802,arangka
1803,arangkǎr
1804,aransil
1805,aranya
1806,aranyas
1807,arapal
1808,aráru
1809,áras
1810,áras
1811,arásun
1812,áras
1813,arasti
1814,pangarasti
1815,arastri
1816,árat
1817,árat
1818,paárat
1819,arawkarya
1820,aray
1821,aray
1822,arayis
1823,arbul
1824,arbul
1825,arbularyu
